Word,Start,End,Code
idea,0.78,1.02,45
firecracker,3.66,4.4,46
detonate,5.08,5.5,45
water,6.08,6.4,46
fall,9.42,9.66,46
place,12.74,12.92,45
small,14.56,14.74,45
border,16.9,17.12,46
work,20.68,21.06,45
camp,21.5,21.74,46
gone,22.14,22.36,45
brother,23.44,23.64,46
along,25.22,25.52,45
growing,27.68,28.02,45
crowd,31.06,31.42,46
seeing,32.34,32.6,45
since,33.62,33.94,45
school,35.1,35.4,46
funk,37.14,37.36,45
weekend,40.62,40.84,45
higher,41.28,41.5,45
times,43.9,44.28,45
fire,46.4,46.78,46
door,50.74,50.9,46
eyes,54.68,54.94,46
brother,58.22,58.42,46
scientist,60.8,61.22,46
