Word,Start,End,Code
should,3.06,3.18,45
slid,4.94,5.18,45
pains,6.22,6.62,45
cut,7.26,7.6,46
back,11.48,11.76,46
newspaper,12.62,12.96,46
brown,14.58,14.84,46
remember,15.14,15.42,45
something,17.88,18.14,45
house,23.56,23.82,46
dark,24.92,25.16,46
light,26.62,26.88,46
little,27.42,27.62,45
covered,28.94,29.2,45
floor,30.68,30.88,46
eyes,32.9,33.06,46
covered,34.86,35.2,45
layer,35.54,35.72,45
clothes,36.12,36.64,46
walk,39.54,39.72,46
stuff,45.34,45.56,45
remember,47.46,47.64,45
rooms,48.16,48.36,46
stuff,50.76,50.96,45
